CUSTOMER_ID,no_accounts,amt_borrowed
50729820017,1,55687.5
57230031002,1,275455
35390031004,1,27735
40075530096,1,58245.99
53903820092,1,50723.75
48182720078,1,118800
48534530092,1,60562.15
61434410022,3,150344.76
55829700007,1,63000
56351620052,1,25750
71038720036,1,170950
72243720056,1,50000
79806100056,4,615193.22
86881000018,1,380000
668720032,1,10191.99
27934320016,1,76500.24
63809520084,1,44000
64556920024,1,17025.99
95653720050,1,50358
10818520079,2,145300.02
11343720054,1,62695
27096720036,1,42677
27359820013,1,40000
47086620080,1,17155
40065320052,1,35500
87446920025,1,30000
2278611008,4,974619.27
14724900060,1,71450
18630620023,3,586096.05
47776920021,1,33550
50591820013,1,25000
69226620080,1,97340
74773820061,1,11786.37
89347420016,3,192109.44
97301220043,1,22800.27
13876610068,1,71500
14273820060,1,10058.02
32555920093,1,38486.44
55395530097,1,27049
58473820019,2,103909.41
88521010094,1,100185
6059800042,1,119345
21473720078,1,44000
38902620034,3,81704.46
26374220011,1,452000
42989020091,1,45000
21119820017,1,28160
51517620077,1,66023.8
56602030090,1,35850
73859510027,1,108000
3996920096,1,42999.11
14782220012,1,23469.3
36373220027,1,20000
47587720098,1,19871
42649820017,1,137542.7
82464800040,1,34089
91517520056,1,56648.14
92293720052,1,64400
95671921008,1,93973.14
6407220053,1,26094.18
10943320009,1,1694600
20011820061,2,141530.11
31742910064,1,6730
35492820098,1,66300
47349820018,1,41140
39653820063,1,7441.8
84955520085,1,29685
90748020054,1,59885
93680031008,1,41175.35
3652120044,1,69508.12
19668920093,1,22500
41193720055,1,3000
80514920026,1,16191.14
95246500042,1,91324.87
87526620081,1,105536.34
23619820020,1,13148.35
25204620034,1,147259
30280420073,1,13620.88
42473620053,1,48200
53979720098,1,51700
50685120026,1,16048.5
57405210054,1,58300
89052320026,1,82822.7
96548720037,1,22000
6349720091,1,40500
23846920021,1,86300
53446800095,2,1855701.48
67206621001,1,20060
99726220099,1,86287.96
22553620039,1,42290
403620079,1,195756.81
28413820060,1,25350
35324230099,1,57450
42843820096,1,34730
57639520071,1,18100.5
70633530099,1,153344.81
71866230091,1,45000
72543820067,2,69043
98108720032,1,39450
80942820099,2,88612.26
81992820091,1,49443.4
94110720041,1,4072.41
1455621000,1,40700
1486720095,1,27500
2809410038,1,3580
15253720059,1,3118
29109120056,1,106000
35213820061,2,113921
54397720017,2,100601.23
62838620055,1,40000
64942610059,2,85200
87984620054,1,38785
88669620067,1,70851
2635720094,2,131470.36
10269620041,1,63195
14843710040,1,41903.03
22940520089,1,39796.11
29263820069,1,68685
50777320033,1,100000
58170020081,2,26748.6
66190211002,1,49500
78903030091,1,40778.06
71041920020,1,23076.92
92000720041,1,138710
97436810024,1,23661
19015320023,1,36839
54914800075,1,10105.4
62363720051,1,69791.92
62462820090,1,8252.43
63037020046,1,49998.69
55077720098,1,50944
76011031006,1,107744.96
76428920095,1,30024.5
90626620019,1,51919
15933110078,1,7877.76
9454210097,3,217359.83
25287420088,1,38000
44820310068,1,257873
48607810029,3,749945.42
49652920096,1,29995
97438420038,1,55824.63
6339820013,1,93187
44519020061,9,539649
92899620048,1,31682.2
15232820093,2,210600
30710750006,1,7381.98
40505530097,1,4680
51899820022,1,29700
57127720037,1,36850
65958720038,1,92450
77192920025,1,131130
86762720063,1,232100
16586620085,1,4574.05
20381900042,1,9257.08
