Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-0011,L-0001,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,113746 - SA/NT VCM Ctr,113746,Gross Up Adjustment Actual,1.0000,,0.00
I-0011,L-0002,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,150245 - SA/NT - DO NOT DELETE,150245,Gross Up Elimination Actual,-1.0000,,0.00
I-0011,L-0003,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,MI187659 - HLP SA,MI187659,Gross Up Adjustment Actual,-1.0000,,0.00
I-0011,L-0004,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,MI187659 - HLP SA,MI187659,Gross Up Elimination Actual,1.0000,,0.00
I-0012,L-0000,0.00,1.00,LCUSDP - Deposits at amortised cost,LCUSDP,MI187652 - HLP NSW,MI187652,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0012,L-0001,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,533790 - NSW NRM Adj Ctr,533790,Gross Up Adjustment Actual,1.0000,,0.00
I-0012,L-0002,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,150005 - NSW Metro - DO NOT DELETE,150005,Gross Up Elimination Actual,-1.0000,,0.00
I-0012,L-0003,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187652 - HLP NSW,MI187652,Gross Up Adjustment Actual,-1.0000,,0.00
I-0012,L-0004,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187652 - HLP NSW,MI187652,Gross Up Elimination Actual,1.0000,,0.00
I-0013,L-0000,0.00,1.00,LCUSDP - Deposits at amortised cost,LCUSDP,MI187653 - HLP VIC,MI187653,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0013,L-0001,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,187301 - VIC/TAS NRM Adj Ctr,187301,Gross Up Adjustment Actual,1.0000,,0.00
I-0013,L-0002,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,150200 - VIC/TAS - DO NOT DELETE,150200,Gross Up Elimination Actual,-1.0000,,0.00
I-0013,L-0003,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187653 - HLP VIC,MI187653,Gross Up Adjustment Actual,-1.0000,,0.00
I-0013,L-0004,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187653 - HLP VIC,MI187653,Gross Up Elimination Actual,1.0000,,0.00
I-0014,L-0000,0.00,1.00,LCUSDP - Deposits at amortised cost,LCUSDP,MI187655 - HLP WA,MI187655,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0014,L-0001,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,720971 - WA NRM Adj Ctr,720971,Gross Up Adjustment Actual,1.0000,,0.00
I-0014,L-0002,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,150240 - WA - DO NOT DELETE,150240,Gross Up Elimination Actual,-1.0000,,0.00
I-0014,L-0003,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187655 - HLP WA,MI187655,Gross Up Adjustment Actual,-1.0000,,0.00
I-0014,L-0004,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187655 - HLP WA,MI187655,Gross Up Elimination Actual,1.0000,,0.00
I-0015,L-0000,0.00,1.00,LCUSDP - Deposits at amortised cost,LCUSDP,MI187656 - HLP QLD,MI187656,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0015,L-0001,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,144171 - QLD NRM Adj Ctr,144171,Gross Up Adjustment Actual,1.0000,,0.00
I-0015,L-0002,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,150210 - QLD - DO NOT DELETE,150210,Gross Up Elimination Actual,-1.0000,,0.00
I-0015,L-0003,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187656 - HLP QLD,MI187656,Gross Up Adjustment Actual,-1.0000,,0.00
I-0015,L-0004,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187656 - HLP QLD,MI187656,Gross Up Elimination Actual,1.0000,,0.00
I-0016,L-0000,0.00,1.00,LCUSDP - Deposits at amortised cost,LCUSDP,MI187659 - HLP SA,MI187659,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0016,L-0001,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,113746 - SA/NT VCM Ctr,113746,Gross Up Adjustment Actual,1.0000,,0.00
I-0016,L-0002,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,150245 - SA/NT - DO NOT DELETE,150245,Gross Up Elimination Actual,-1.0000,,0.00
I-0016,L-0003,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187659 - HLP SA,MI187659,Gross Up Adjustment Actual,-1.0000,,0.00
I-0016,L-0004,1.00,1.00,,,,,,LCUSDP - Deposits at amortised cost,LCUSDP,MI187659 - HLP SA,MI187659,Gross Up Elimination Actual,1.0000,,0.00
I-0017,L-0000,0.00,1.00,SOPINC - Operating income,SOPINC,MI187652 - HLP NSW,MI187652,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0017,L-0001,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,533790 - NSW NRM Adj Ctr,533790,Gross Up Adjustment Actual,1.0000,,0.00
I-0017,L-0002,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,150005 - NSW Metro - DO NOT DELETE,150005,Gross Up Elimination Actual,-1.0000,,0.00
I-0017,L-0003,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187652 - HLP NSW,MI187652,Gross Up Adjustment Actual,-1.0000,,0.00
I-0017,L-0004,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187652 - HLP NSW,MI187652,Gross Up Elimination Actual,1.0000,,0.00
I-0018,L-0000,0.00,1.00,SOPINC - Operating income,SOPINC,MI187653 - HLP VIC,MI187653,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0018,L-0001,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,187301 - VIC/TAS NRM Adj Ctr,187301,Gross Up Adjustment Actual,1.0000,,0.00
